timestamp_utc,price_eur_mwh,n_active_outages,total_unavailable_mw,outage_texts,outage_assets,outage_fuel_types,has_unplanned_outage
2023-12-31 23:00:00,39.91,0,0.0,,,,False
2024-01-01 00:00:00,-0.04,0,0.0,,,,False
2024-01-01 01:00:00,-9.01,0,0.0,,,,False
2024-01-01 02:00:00,-29.91,0,0.0,,,,False
2024-01-01 03:00:00,-0.03,0,0.0,,,,False
2024-01-01 04:00:00,-24.91,0,0.0,,,,False
2024-01-01 05:00:00,-0.05,0,0.0,,,,False
2024-01-01 06:00:00,-0.02,0,0.0,,,,False
2024-01-01 07:00:00,0.0,0,0.0,,,,False
2024-01-01 08:00:00,0.04,0,0.0,,,,False
2024-01-01 09:00:00,-0.04,0,0.0,,,,False
2024-01-01 10:00:00,-0.42,0,0.0,,,,False
2024-01-01 11:00:00,2.24,0,0.0,,,,False
2024-01-01 12:00:00,1.96,0,0.0,,,,False
2024-01-01 13:00:00,-32.41,0,0.0,,,,False
2024-01-01 14:00:00,5.08,0,0.0,,,,False
2024-01-01 15:00:00,43.06,0,0.0,,,,False
2024-01-01 16:00:00,49.93,0,0.0,,,,False
2024-01-01 17:00:00,58.0,0,0.0,,,,False
2024-01-01 18:00:00,-0.08,0,0.0,,,,False
2024-01-01 19:00:00,-0.04,0,0.0,,,,False
2024-01-01 20:00:00,42.95,0,0.0,,,,False
2024-01-01 21:00:00,-0.02,0,0.0,,,,False
2024-01-01 22:00:00,35.55,0,0.0,,,,False
2024-01-01 23:00:00,30.59,0,0.0,,,,False
2024-01-02 00:00:00,56.11,0,0.0,,,,False
2024-01-02 01:00:00,7.59,0,0.0,,,,False
2024-01-02 02:00:00,18.39,0,0.0,,,,False
2024-01-02 03:00:00,67.42,0,0.0,,,,False
2024-01-02 04:00:00,10.09,0,0.0,,,,False
2024-01-02 05:00:00,40.84,0,0.0,,,,False
2024-01-02 06:00:00,49.9,0,0.0,,,,False
2024-01-02 07:00:00,65.67,0,0.0,,,,False
2024-01-02 08:00:00,64.73,0,0.0,,,,False
2024-01-02 09:00:00,68.98,0,0.0,,,,False
2024-01-02 10:00:00,73.54,0,0.0,,,,False
2024-01-02 11:00:00,-14.92,0,0.0,,,,False
2024-01-02 12:00:00,78.87,0,0.0,,,,False
2024-01-02 13:00:00,79.24,0,0.0,,,,False
2024-01-02 14:00:00,79.96,0,0.0,,,,False
2024-01-02 15:00:00,2.57,0,0.0,,,,False
2024-01-02 16:00:00,2.58,0,0.0,,,,False
2024-01-02 17:00:00,74.95,0,0.0,,,,False
2024-01-02 18:00:00,63.18,0,0.0,,,,False
2024-01-02 19:00:00,57.11,0,0.0,,,,False
2024-01-02 20:00:00,-0.06,0,0.0,,,,False
2024-01-02 21:00:00,40.0,0,0.0,,,,False
2024-01-02 22:00:00,7.43,0,0.0,,,,False
2024-01-02 23:00:00,-4.9,0,0.0,,,,False
2024-01-03 00:00:00,-0.07,0,0.0,,,,False
2024-01-03 01:00:00,-1.3,0,0.0,,,,False
2024-01-03 02:00:00,-22.28,0,0.0,,,,False
2024-01-03 03:00:00,54.94,0,0.0,,,,False
2024-01-03 04:00:00,-7.44,0,0.0,,,,False
2024-01-03 05:00:00,1.09,0,0.0,,,,False
2024-01-03 06:00:00,-0.08,0,0.0,,,,False
2024-01-03 07:00:00,12.18,0,0.0,,,,False
2024-01-03 08:00:00,-0.05,0,0.0,,,,False
2024-01-03 09:00:00,71.16,0,0.0,,,,False
2024-01-03 10:00:00,-0.06,0,0.0,,,,False
2024-01-03 11:00:00,-0.07,0,0.0,,,,False
2024-01-03 12:00:00,79.93,0,0.0,,,,False
2024-01-03 13:00:00,87.41,0,0.0,,,,False
2024-01-03 14:00:00,67.18,0,0.0,,,,False
2024-01-03 15:00:00,-0.08,0,0.0,,,,False
2024-01-03 16:00:00,87.42,0,0.0,,,,False
2024-01-03 17:00:00,-0.02,0,0.0,,,,False
2024-01-03 18:00:00,79.03,0,0.0,,,,False
2024-01-03 19:00:00,73.23,0,0.0,,,,False
2024-01-03 20:00:00,17.59,0,0.0,,,,False
2024-01-03 21:00:00,65.0,0,0.0,,,,False
2024-01-03 22:00:00,57.42,0,0.0,,,,False
2024-01-03 23:00:00,-29.92,0,0.0,,,,False
2024-01-04 00:00:00,-0.09,0,0.0,,,,False
2024-01-04 01:00:00,32.59,0,0.0,,,,False
2024-01-04 02:00:00,29.89,0,0.0,,,,False
2024-01-04 03:00:00,35.0,0,0.0,,,,False
2024-01-04 04:00:00,57.73,0,0.0,,,,False
2024-01-04 05:00:00,59.91,0,0.0,,,,False
2024-01-04 06:00:00,29.92,0,0.0,,,,False
2024-01-04 07:00:00,34.29,0,0.0,,,,False
2024-01-04 08:00:00,82.42,0,0.0,,,,False
2024-01-04 09:00:00,46.43,0,0.0,,,,False
2024-01-04 10:00:00,90.03,0,0.0,,,,False
2024-01-04 11:00:00,27.7,0,0.0,,,,False
2024-01-04 12:00:00,20.09,0,0.0,,,,False
2024-01-04 13:00:00,54.91,0,0.0,,,,False
2024-01-04 14:00:00,15.1,0,0.0,,,,False
2024-01-04 15:00:00,31.76,0,0.0,,,,False
2024-01-04 16:00:00,24.7,0,0.0,,,,False
2024-01-04 17:00:00,34.91,0,0.0,,,,False
2024-01-04 18:00:00,54.9,0,0.0,,,,False
2024-01-04 19:00:00,71.68,0,0.0,,,,False
