dataset_name,n_samples,n_eval_samples,chronos_univar_median_mae,timesfm_univar_median_mae,prophet_median_mae,naive_median_mae,chronos_univar_mean_mae,timesfm_univar_mean_mae,prophet_mean_mae,naive_mean_mae,chronos_univar_median_mape,timesfm_univar_median_mape,prophet_median_mape,naive_median_mape,chronos_univar_mean_mape,timesfm_univar_mean_mape,prophet_mean_mape,naive_mean_mape,chronos_univar_std_mae,timesfm_univar_std_mae,prophet_std_mae,naive_std_mae,chronos_univar_std_mape,timesfm_univar_std_mape,prophet_std_mape,naive_std_mape,chronos_univar_median_mse,timesfm_univar_median_mse,prophet_median_mse,naive_median_mse,chronos_univar_mean_mse,timesfm_univar_mean_mse,prophet_mean_mse,naive_mean_mse
aabv_with_text,999,600,0.29199713,0.2770786,0.5366409,0.27540183,0.33746815,0.3343589,0.64482844,0.3289047,2.5557134227326896,2.5047364814072886,4.466454567868556,2.5226864986769915,3.1326354575436066,3.0904620780723957,6.010058805769438,3.0218892783404967,0.2148574,0.21954337,0.43125364,0.21858573,1.973076940450245,2.003643703246624,3.9560417063111757,1.9165324782465003,0.12013693,0.11370227,0.36095172,0.11137161,0.207649,0.20733409,0.64983916,0.20359889
abt_with_text,999,600,0.34578443,0.35141838,0.53065753,0.33806157,0.401532,0.39871135,0.6625118,0.3894943,2.7985099699281997,2.813282105219738,4.592737226983466,2.7128269680722843,3.2515342143354733,3.2337077153603584,5.343117198965066,3.1485970411752944,0.24474736,0.23600483,0.40112352,0.23672925,1.8317159957548974,1.770951485786072,2.908172294280614,1.733158878900517,0.17348889,0.17297888,0.33841038,0.1685544,0.28852615,0.28267434,0.667553,0.27328584
