,Bidding Zone,Installed Capacity [MW],Name,Production Type,Start,Voltage Connection Level [kV]
26W-S06TRVCTORV6,10Y1001A1001A73I,867,IM_S06TRVCUP_TORVISCOSA_1,Fossil Gas,2023-12-31 23:00:00+00:00,380
26W-S08BCRGBARG4,10Y1001A1001A73I,281,IM_S08BCRGUP_BARGI_CEN_1,Hydro Pumped Storage,2023-12-31 23:00:00+00:00,380
26W-S08ESDSSANQ4,10Y1001A1001A73I,137,UP_SANQUIRICO_1,Fossil Gas,2023-12-31 23:00:00+00:00,132
26W-S08LCCSLA-CQ,10Y1001A1001A73I,369,IM_S08LCCSUP_LA_CASELL_4,Fossil Gas,2023-12-31 23:00:00+00:00,380
26W-S08PCRTPORTI,10Y1001A1001A73I,368,IM_S08PCRTUP_PORTO_COR_4,Fossil Gas,2023-12-31 23:00:00+00:00,380
26W-S08PLCNPIACB,10Y1001A1001A73I,806,IM_S08PLCNUP_PIACENZA_4,Fossil Gas,2023-12-31 23:00:00+00:00,380
26W-SV3OSTGOSTIA,10Y1001A1001A73I,751,IM_S03OSTGUP_OSTIGLIA_12,Fossil Gas,2023-12-31 23:00:00+00:00,380
26W-SV5FTSNFUSIV,10Y1001A1001A73I,796,IM_S05FTSNUP_FUSINAT_7,Fossil Gas,2025-12-31 23:00:00+00:00,380
26W-SX3TVZZTAVA5,10Y1001A1001A73I,300,UP_TAVAZZANO_8,Other,2023-12-31 23:00:00+00:00,380
26W-SX8LCCSLA-CX,10Y1001A1001A73I,375,IM_S08LCCSUP_LA_CASELL_1,Fossil Gas,2023-12-31 23:00:00+00:00,380
26W-SY3EMC4NPWR0,10Y1001A1001A73I,395,IM_S03EMC4UP_NPWRMNTOVA_3,Fossil Gas,2023-12-31 23:00:00+00:00,380
26W-SY3FERRNPWRY,10Y1001A1001A73I,381,IM_S03FERRUP_NPWRFRRRRB_9,Fossil Gas,2023-12-31 23:00:00+00:00,380
26W-SY3OSTGOSTIE,10Y1001A1001A73I,373,IM_S03OSTGUP_OSTIGLIA_3,Fossil Gas,2023-12-31 23:00:00+00:00,380
26W-SY5PMARLEVAX,10Y1001A1001A73I,817,IM_S05PMARUP_LEVANTE_5,Fossil Gas,2023-12-31 23:00:00+00:00,220
26W-SY7VTDRVADOM,10Y1001A1001A73I,784,IM_S07VTDRUP_VADOTERM_5,Fossil Gas,2023-12-31 23:00:00+00:00,380
26W-SY8EFNPSCTNW,10Y1001A1001A73I,381,IM_S08EFNPUP_SCTNPWPFRR_2,Fossil Gas,2023-12-31 23:00:00+00:00,380
26W-SY8ERNPNPWR3,10Y1001A1001A73I,381,IM_S08ERNPUP_NPWRRVENNA_10,Fossil Gas,2023-12-31 23:00:00+00:00,380
26W-SY8LCCSLA-CM,10Y1001A1001A73I,367,IM_S08LCCSUP_LA_CASELL_2,Fossil Gas,2023-12-31 23:00:00+00:00,380
26W-SZ1CHVSCHIVM,10Y1001A1001A73I,838,IM_S01CHVSUP_CHIVASSO_1,Fossil Gas,2023-12-31 23:00:00+00:00,150
26W-SZ1MNCLMONC4,10Y1001A1001A73I,381,IM_S01MNCLUP_MONCALRPW_2,Fossil Gas,2023-12-31 23:00:00+00:00,220
26W-SZ3EMC4NPWRQ,10Y1001A1001A73I,381,IM_S03EMC4UP_NPWRMNTOVA_2,Fossil Gas,2023-12-31 23:00:00+00:00,380
26W-SZ3FERRNPWRN,10Y1001A1001A73I,395,IM_S03FERRUP_NPWRFRRRRB_8,Fossil Gas,2023-12-31 23:00:00+00:00,380
26W-SZ3SRMDSERM2,10Y1001A1001A73I,845,IM_S03SRMDUP_SERMIDE_4,Fossil Gas,2023-12-31 23:00:00+00:00,380
26W-SZ3TRBGTURB5,10Y1001A1001A73I,800,IM_S03TRBGUP_TURBIGO_4,Fossil Gas,2023-12-31 23:00:00+00:00,380
26W-SZ3TVZZTAVAK,10Y1001A1001A73I,765,IM_S03TVZZUP_TAVAZZANO_5,Fossil Gas,2023-12-31 23:00:00+00:00,380
26W-SZ6MTNFMONF7,10Y1001A1001A73I,162,IM_S06MTNFUP_MONFALCO_2,Fossil Hard coal,2023-12-31 23:00:00+00:00,220
26W-SZ8EFNPSCTNL,10Y1001A1001A73I,381,IM_S08EFNPUP_SCTNPWPFRR_3,Fossil Gas,2023-12-31 23:00:00+00:00,380
26W-SZ8ERNPNPWRT,10Y1001A1001A73I,395,IM_S08ERNPUP_NPWRRVENNA_11,Fossil Gas,2023-12-31 23:00:00+00:00,380
26W-SZ8LCCSLA-CB,10Y1001A1001A73I,365,IM_S08LCCSUP_LA_CASELL_3,Fossil Gas,2023-12-31 23:00:00+00:00,380
26W-SZ8PCRTPORT3,10Y1001A1001A73I,368,IM_S08PCRTUP_PORTO_COR_3,Fossil Gas,2023-12-31 23:00:00+00:00,380
26WAI-ALTOADDA1A,10Y1001A1001A73I,327,IMAI_ALTOADDA_1,Hydro Pumped Storage,2023-12-31 23:00:00+00:00,220
26WAI-CHIESE1003,10Y1001A1001A73I,335,IMAI_CHIESE_1,Hydro Run-of-river and poundage,2023-12-31 23:00:00+00:00,220
26WAI-LIRO10000Z,10Y1001A1001A73I,280,IMAI_LIRO_1,Hydro Run-of-river and poundage,2023-12-31 23:00:00+00:00,132
26WAI-NOCE100003,10Y1001A1001A73I,161,IMAI_NOCE_1,Hydro Run-of-river and poundage,2023-12-31 23:00:00+00:00,220
26WAI-PONTVENTOG,10Y1001A1001A73I,150,IMAI_PONTVENTOUX_1,Hydro Pumped Storage,2023-12-31 23:00:00+00:00,132
26WAI-PREM-GROSO,10Y1001A1001A73I,737,IMAI_PREM-GROSIO_1,Hydro Run-of-river and poundage,2023-12-31 23:00:00+00:00,220
26WAI-S-MASS-CL9,10Y1001A1001A73I,497,IMAI_S.MASS.CL_1,Hydro Pumped Storage,2023-12-31 23:00:00+00:00,220
26WAI-TAGLIAMENU,10Y1001A1001A73I,220,IMAI_TAGLIAMENTO_1,Hydro Run-of-river and poundage,2023-12-31 23:00:00+00:00,220
26WAI-VALCAMONIX,10Y1001A1001A73I,130,IMAI_VALCAMONICA_1,Hydro Run-of-river and poundage,2023-12-31 23:00:00+00:00,220
26WAI-VALMALENCK,10Y1001A1001A73I,350,IMAI_VALMALENCO_1,Hydro Run-of-river and poundage,2023-12-31 23:00:00+00:00,220
26WBESS-TRINO20E,10Y1001A1001A73I,0,BESS_TRINO_2,Other,2023-12-31 23:00:00+00:00,150
26WBESS-UDINESU6,10Y1001A1001A73I,0,BESS_UDINE_SUD,Other,2023-12-31 23:00:00+00:00,150
26WCASSANO-OEAE5,10Y1001A1001A73I,0,CASSANO_UP_OEAEMAE_31625,Fossil Gas,2023-12-31 23:00:00+00:00,150
26WCCGT-CASSANO3,10Y1001A1001A73I,855,CCGT_CASSANO_UP_OEAEMAE_31922,Fossil Gas,2023-12-31 23:00:00+00:00,380
26WCCGTMONFALCOP,10Y1001A1001A73I,0,CCGT_MONFALCONE,Fossil Gas,2023-12-31 23:00:00+00:00,380
26WFS7-CCGT-OEEV,10Y1001A1001A73I,0,FS7_CCGT_UP_OEEPSNL_31611,Other,2023-12-31 23:00:00+00:00,380
26WSAN-QUIRICO-R,10Y1001A1001A73I,0,SAN_QUIRICO_UP_OEESDSN_31880,Fossil Gas,2023-12-31 23:00:00+00:00,380
