,Bidding Zone,Installed Capacity [MW],Name,Production Type,Start,Voltage Connection Level [kV]
17W100P100P0308H,10YFR-RTE------C,147.8,STRASBOURG,Hydro Run-of-river and poundage,2023-12-31 23:00:00+00:00,225
17W100P100P0309F,10YFR-RTE------C,150,SAUSSAZ,Hydro Run-of-river and poundage,2023-12-31 23:00:00+00:00,225
17W100P100P0310U,10YFR-RTE------C,140.5,GERSTHEIM,Hydro Run-of-river and poundage,2023-12-31 23:00:00+00:00,225
17W100P100P0311S,10YFR-RTE------C,140.5,VOGELGRUN,Hydro Run-of-river and poundage,2023-12-31 23:00:00+00:00,225
17W100P100P0312Q,10YFR-RTE------C,124,RANDENS,Hydro Run-of-river and poundage,2023-12-31 23:00:00+00:00,150
17W100P100P0313O,10YFR-RTE------C,119,COUESQUE,Hydro Run-of-river and poundage,2023-12-31 23:00:00+00:00,225
17W100P100P0314M,10YFR-RTE------C,129,HERMILLON,Hydro Run-of-river and poundage,2023-12-31 23:00:00+00:00,225
17W100P100P0315K,10YFR-RTE------C,104,ASTON,Hydro Run-of-river and poundage,2023-12-31 23:00:00+00:00,225
17W100P100P0316I,10YFR-RTE------C,104,PASSY,Hydro Run-of-river and poundage,2023-12-31 23:00:00+00:00,225
17W100P100P0317G,10YFR-RTE------C,101,SAINT PIERRE COGNET,Hydro Run-of-river and poundage,2023-12-31 23:00:00+00:00,225
17W100P100P0318E,10YFR-RTE------C,420,FR-GA-MORANT1,Fossil Gas,2023-12-31 23:00:00+00:00,225
17W100P100P0319C,10YFR-RTE------C,397.5,GENISSIAT,Hydro Run-of-river and poundage,2023-12-31 23:00:00+00:00,225
17W100P100P0320R,10YFR-RTE------C,180,BOURG les VALENCE,Hydro Run-of-river and poundage,2023-12-31 23:00:00+00:00,225
17W100P100P0321P,10YFR-RTE------C,192,BEAUCHASTEL,Hydro Run-of-river and poundage,2023-12-31 23:00:00+00:00,225
17W100P100P0322N,10YFR-RTE------C,128,LOGIS-NEUF 1,Hydro Run-of-river and poundage,2023-12-31 23:00:00+00:00,225
17W100P100P0323L,10YFR-RTE------C,275.4,CHATEAUNEUF-DU-RHONE,Hydro Run-of-river and poundage,2023-12-31 23:00:00+00:00,225
17W100P100P0324J,10YFR-RTE------C,349.2,BOLLENE,Hydro Run-of-river and poundage,2023-12-31 23:00:00+00:00,225
17W100P100P0325H,10YFR-RTE------C,186.6,CADEROUSSE,Hydro Run-of-river and poundage,2023-12-31 23:00:00+00:00,63
17W100P100P0326F,10YFR-RTE------C,120,AVIGNON,Hydro Run-of-river and poundage,2023-12-31 23:00:00+00:00,225
17W100P100P0327D,10YFR-RTE------C,210,BEAUCAIRE,Hydro Run-of-river and poundage,2023-12-31 23:00:00+00:00,225
17W100P100P0328B,10YFR-RTE------C,146,FR_MAREGES,Hydro Run-of-river and poundage,2023-12-31 23:00:00+00:00,225
17W100P100P03299,10YFR-RTE------C,122,FR_SAINT-PIERRE,Hydro Run-of-river and poundage,2023-12-31 23:00:00+00:00,225
17W100P100P0334G,10YFR-RTE------C,435,SPEM,Fossil Gas,2023-12-31 23:00:00+00:00,225
17W100P100P0335E,10YFR-RTE------C,45,SPEM pointe,Fossil Gas,2023-12-31 23:00:00+00:00,63
17W100P100P0337A,10YFR-RTE------C,425,COMBIGOLFE,Fossil Gas,2023-12-31 23:00:00+00:00,225
17W100P100P0340L,10YFR-RTE------C,445,Croix-de-Metz,Fossil Gas,2023-12-31 23:00:00+00:00,225
17W100P100P0341J,10YFR-RTE------C,445,Pont-sur-Sambre,Fossil Gas,2023-12-31 23:00:00+00:00,225
17W100P100P0343F,10YFR-RTE------C,595,EMILE HUCHET 6,Fossil Hard coal,2023-12-31 23:00:00+00:00,225
17W100P100P0344D,10YFR-RTE------C,446,SAINT AVOLD 7,Fossil Gas,2023-12-31 23:00:00+00:00,400
17W100P100P0345B,10YFR-RTE------C,446,SAINT AVOLD 8,Fossil Gas,2023-12-31 23:00:00+00:00,400
17W100P100P03469,10YFR-RTE------C,595,PROVENCE 5,Fossil Hard coal,2023-12-31 23:00:00+00:00,225
17W100P100P03493,10YFR-RTE------C,130,AMFARD14,Fossil Gas,2023-12-31 23:00:00+00:00,225
17W100P100P0350I,10YFR-RTE------C,796,DK6,Fossil Gas,2023-12-31 23:00:00+00:00,225
17W100P100P0351G,10YFR-RTE------C,428,CYCOFOS,Fossil Gas,2023-12-31 23:00:00+00:00,225
17W100P100P0353C,10YFR-RTE------C,130,AMFARD15,Fossil Gas,2023-12-31 23:00:00+00:00,225
17W100P100P0362B,10YFR-RTE------C,1620,FLAMANVILLE 3,Nuclear,2024-12-31 23:00:00+00:00,400
17W100P100P03647,10YFR-RTE------C,150,PROVENCE 4,Biomass,2023-12-31 23:00:00+00:00,225
