,Bidding Zone,Installed Capacity [MW],Name,Production Type,Start,Voltage Connection Level [kV]
19W000000000284R,10YPL-AREA-----S,450,EC Stalowa Wola,Fossil Gas,2023-12-31 23:00:00+00:00,220
19W000000000287L,10YPL-AREA-----S,76.5,Zabrze,Fossil Hard coal,2023-12-31 23:00:00+00:00,110
19W000000000290W,10YPL-AREA-----S,496,EC Żerań 2,Fossil Gas,2023-12-31 23:00:00+00:00,220
19W000000000293Q,10YPL-AREA-----S,100.6,EC Toruń,Fossil Gas,2023-12-31 23:00:00+00:00,60
19W000000000294O,10YPL-AREA-----S,113.5,Przyjaźń,Fossil Coal-derived gas,2023-12-31 23:00:00+00:00,110
19W000000000295M,10YPL-AREA-----S,81,Zofiówka,Fossil Hard coal,2023-12-31 23:00:00+00:00,110
19W000000000296K,10YPL-AREA-----S,910,Jaworzno 2 JWCD,Fossil Hard coal,2023-12-31 23:00:00+00:00,400
19W000000000297I,10YPL-AREA-----S,299,EC Żerań 1,Fossil Hard coal,2023-12-31 23:00:00+00:00,110
19W000000000299E,10YPL-AREA-----S,101.3,FW Potegowo,Wind Onshore,2023-12-31 23:00:00+00:00,110
19W000000000301G,10YPL-AREA-----S,118.3,FW Potegowo Zachód,Wind Onshore,2023-12-31 23:00:00+00:00,110
19W110000000303O,10YPL-AREA-----S,132,FW Jasna,Wind Onshore,2023-12-31 23:00:00+00:00,110
19W110000000304M,10YPL-AREA-----S,0,Stalowa Wola Pasywna blok 7,Fossil Hard coal,2023-12-31 23:00:00+00:00,0
19W110000000306I,10YPL-AREA-----S,221.6,Farma wiatrowa Dunowo,Wind Onshore,2023-12-31 23:00:00+00:00,110
19W110000000307G,10YPL-AREA-----S,144.9,Farma wiatrowa Biały Bór,Wind Onshore,2023-12-31 23:00:00+00:00,110
19W110000000313L,10YPL-AREA-----S,1366,Elektrownia Gryfino,Fossil Gas,2023-12-31 23:00:00+00:00,400
19W111100000001J,10YPL-AREA-----S,170.6,EC Czechnica-2,Fossil Gas,2024-12-31 23:00:00+00:00,110
19W111100000022B,10YPL-AREA-----S,145,Elektrownia fotowoltaiczna Zwartowo,Solar,2023-12-31 23:00:00+00:00,110
