,Bidding Zone,Installed Capacity [MW],Name,Production Type,Start,Voltage Connection Level [kV]
11WD2OAMK000342L,10Y1001A1001A82H,301,Amrumbank West,Wind Offshore,2023-12-31 23:00:00+00:00,400
11WD2OBA1000349Z,10Y1001A1001A82H,400,Bard Offshore 1,Wind Offshore,2023-12-31 23:00:00+00:00,380
11WD2OBR1000278R,10Y1001A1001A82H,312,Borkum Riffgrund I,Wind Offshore,2023-12-31 23:00:00+00:00,155
11WD2ODTK000336Y,10Y1001A1001A82H,288,DanTysk,Wind Offshore,2023-12-31 23:00:00+00:00,380
11WD2OGW1000346F,10Y1001A1001A82H,332,Gode Wind I,Wind Offshore,2023-12-31 23:00:00+00:00,155
11WD2OGW20003378,10Y1001A1001A82H,252,Gode Wind II,Wind Offshore,2023-12-31 23:00:00+00:00,155
11WD2ONSO000218S,10Y1001A1001A82H,288,Offshore Windpark,Wind Offshore,2023-12-31 23:00:00+00:00,155
11WD2OWME000351X,10Y1001A1001A82H,288,OWP Meerwind Süd|Ost,Wind Offshore,2023-12-31 23:00:00+00:00,380
11WD2OWS0000352F,10Y1001A1001A82H,288,Sandbank,Wind Offshore,2023-12-31 23:00:00+00:00,380
11WD2OWVM000355S,10Y1001A1001A82H,402,Offshore-Windpark Veja Mate,Wind Offshore,2023-12-31 23:00:00+00:00,155
11WD2PLAT000267Z,10Y1001A1001A82H,120,Kraftwerk Plattling,Fossil Gas,2023-12-31 23:00:00+00:00,110
11WD2SILT000157E,10Y1001A1001A82H,500,KW Silz,Hydro Water Reservoir,2023-12-31 23:00:00+00:00,220
11WD2SRKW000345J,10Y1001A1001A82H,181,HKW-Nürnberg-Sandreuth,Fossil Gas,2023-12-31 23:00:00+00:00,110
11WD2STAU0001800,10Y1001A1001A82H,522,Staudinger,Fossil Gas,2023-12-31 23:00:00+00:00,380
11WD2SUE1000099L,10Y1001A1001A82H,529.2,Sued GuD1,Fossil Gas,2023-12-31 23:00:00+00:00,110
11WD2SUE2000103B,10Y1001A1001A82H,400,Sued GuD2,Fossil Gas,2023-12-31 23:00:00+00:00,110
